Step_EOC,Value_EOC,Step_OC,Value_OC
6,1,19,1
16,1,25,1
19,1,41,1
25,1,43,1
41,1,46,1
43,1,57,1
45,1,72,1
46,1,75,1
48,1,95,1
54,1,156,1
57,1,159,1
66,1,168,1
72,1,184,1
73,1,186,1
74,1,230,1
75,1,235,1
80,1,256,1
88,1,261,1
95,1,268,1
103,1,274,1
106,1,309,1
107,1,311,1
114,1,319,1
119,1,340,1
127,1,348,1
131,1,368,1
140,1,422,1
151,1,423,1
156,1,443,1
159,1,446,1
168,1,461,1
169,1,464,1
179,1,465,1
184,1,475,1
186,1,494,1
187,1,515,1
191,1,537,1
199,1,564,1
207,1,574,1
208,1,580,1
209,1,587,1
213,1,588,1
224,1,621,1
230,1,623,1
235,1,635,1
238,1,642,1
250,1,643,1
256,1,645,1
261,1,648,1
264,1,650,1
268,1,662,1
272,1,672,1
274,1,715,1
293,1,723,1
298,1,731,1
299,1,740,1
304,1,753,1
308,1,757,1
309,1,766,1
311,1,770,1
319,1,772,1
320,1,774,1
326,1,781,1
327,1,786,1
328,1,788,1
331,1,793,1
340,1,795,1
348,1,799,1
364,1,803,1
368,1,809,1
374,1,810,1
378,1,833,1
380,1,837,1
392,1,870,1
393,1,877,1
409,1,883,1
422,1,897,1
423,1,901,1
425,1,908,1
431,1,910,1
440,1,918,1
442,1,932,1
443,1,943,1
446,1,946,1
452,1,955,1
461,1,963,1
464,1,972,1
465,1,973,1
474,1,979,1
475,1,980,1
490,1,985,1
492,1,1003,0
494,1,1006,0
508,1,1015,1
513,1,1058,0
515,1,1064,0
518,1,1067,0
526,1,1069,0
532,1,1073,0
534,1,1079,0
537,1,1084,0
543,1,1094,0
548,1,1100,0
558,1,1105,0
560,1,1115,0
564,1,1157,0
570,1,1161,0
574,1,1162,0
575,1,1163,0
580,1,1181,0
582,1,1194,0
583,1,1207,0
585,1,1245,1
587,1,1256,0
588,1,1259,0
593,1,1262,0
594,1,1282,1
603,1,1288,0
609,1,1295,1
611,1,1301,1
616,1,1317,1
621,1,1320,1
623,1,1331,1
635,1,1334,1
642,1,1337,0
643,1,1338,1
645,1,1386,0
646,1,1389,1
647,1,1392,0
648,1,1393,0
650,1,1415,0
653,1,1427,0
657,1,1437,0
662,1,1441,0
665,1,1466,0
669,1,1467,1
672,1,1478,0
675,1,1486,0
679,1,1492,0
680,1,1524,0
684,1,1528,0
689,1,1553,1
690,1,1569,0
697,1,1570,0
700,1,1585,0
704,1,1589,0
707,1,1605,1
711,1,1606,1
715,1,1628,0
719,1,1638,0
722,1,1641,0
723,1,1646,0
724,1,1649,0
731,1,1661,0
737,1,1669,0
739,1,1676,0
740,1,1683,0
744,1,1692,0
748,1,1696,0
751,1,1698,0
752,1,1700,0
753,1,1703,0
757,1,1710,0
766,1,1719,0
770,1,1733,0
771,1,1735,0
772,1,1738,0
774,1,1743,0
775,1,1746,0
781,1,1747,0
785,1,1767,1
786,1,1776,0
788,1,1782,0
790,1,1789,0
793,1,1790,0
794,1,1799,0
795,1,1806,0
796,1,1827,0
799,1,1831,0
803,1,1841,0
808,1,1845,0
809,1,1854,0
810,1,1867,0
816,1,1870,0
822,1,1876,0
826,1,1878,0
829,1,1912,0
833,1,1918,0
837,1,1935,0
839,1,1945,0
844,1,1948,0
868,1,1950,0
870,1,1968,0
871,1,1982,0
875,1,1984,0
877,1,2002,0
881,1,2006,0
883,1,2014,0
891,1,2031,1
897,1,2037,1
901,1,2061,1
908,1,2074,1
909,1,2077,1
910,1,2078,1
911,1,2082,1
916,1,2086,1
918,1,2090,1
921,1,2097,1
922,1,2112,1
924,1,2146,1
932,1,2150,1
933,1,2157,1
936,1,2166,1
943,1,2178,1
946,1,2188,1
955,1,2190,1
957,1,2192,1
959,1,2197,1
962,1,2200,1
963,1,2208,1
967,1,2212,1
972,1,2232,1
973,1,2237,1
977,1,2238,1
978,1,2240,1
979,1,2243,1
980,1,2247,1
984,1,2248,1
985,1,2255,1
988,1,2258,1
989,1,2263,1
997,1,2282,1
1001,0,2292,1
1003,0,2298,1
1005,0,2304,1
1006,0,2308,1
1014,1,2320,1
1015,1,2321,1
1018,0,2346,1
1026,0,2355,1
1028,0,2390,1
1032,0,2391,1
1033,0,2393,1
1038,1,2437,1
1045,1,2445,1
1056,0,2452,1
1058,0,2454,1
1064,0,2456,1
1065,1,2461,1
1067,0,2486,1
1069,0,2487,1
1073,0,2497,1
1077,0,2499,1
1079,0,2504,1
1084,0,2518,1
1085,0,2524,1
1086,0,2533,1
1094,0,2548,1
1100,1,2552,1
1104,1,2554,1
1105,1,2579,1
1106,1,2591,1
1115,1,2601,1
1120,1,2607,1
1126,1,2624,1
1134,1,2630,1
1136,1,2631,1
1156,1,2645,1
1157,1,2651,1
1161,1,2656,1
1162,1,2679,1
1163,1,2686,1
1181,1,2691,1
1186,1,2704,1
1193,1,2711,1
1194,1,2726,1
1200,1,2738,1
1202,1,2741,1
1207,1,2755,1
1209,1,2790,1
1211,1,2791,1
1215,1,2792,1
1233,1,2810,1
1235,1,2825,1
1237,1,2873,1
1245,1,2882,1
1248,1,2891,1
1254,1,2897,1
1256,1,2918,1
1258,1,2920,1
1259,1,2921,1
1262,1,2968,1
1264,0,2976,1
1267,1,2999,1
1275,1,3012,0
1282,0,3016,0
1288,0,3028,0
1292,0,3031,0
1293,0,3039,0
1294,0,3042,0
1295,0,3065,0
1301,0,3069,0
1311,0,3071,1
1313,0,3099,1
1316,0,3122,1
1317,0,3137,1
1320,0,3145,1
1326,0,3150,1
1328,0,3155,1
1331,0,3161,1
1334,0,3177,1
1337,0,3195,1
1338,0,3196,1
1356,0,3203,1
1367,0,3206,1
1371,0,3230,1
1385,0,3240,0
1386,0,3243,1
1389,0,3244,1
1390,0,3246,1
1392,0,3247,1
1393,1,3272,1
1413,0,3281,1
1414,1,3305,1
1415,1,3313,1
1420,0,3327,1
1423,1,3328,1
1427,0,3345,1
1429,0,3374,1
1433,0,3376,1
1437,0,3386,1
1441,0,3403,1
1457,1,3408,1
1466,0,3430,1
1467,0,3438,1
1478,0,3449,1
1486,1,3451,1
1487,1,3458,1
1490,0,3464,1
1492,0,3471,1
1493,1,3477,1
1501,1,3480,1
1502,1,3497,1
1509,1,3509,1
1511,1,3512,1
1519,1,3535,1
1524,1,3537,1
1525,1,3543,1
1528,1,3547,1
1535,1,3563,1
1547,1,3580,1
1552,1,3600,1
1553,1,3618,1
1555,1,3620,1
1556,1,3622,1
1562,1,3625,1
1569,1,3628,1
1570,1,3645,1
1579,1,3656,1
1583,1,3670,1
1585,1,3702,1
1589,1,3726,1
1598,1,3730,1
1605,0,3732,1
1606,0,3738,1
1611,1,3741,1
1619,1,3743,1
1621,1,3752,1
1628,0,3759,1
1629,0,3772,1
1633,0,3780,1
1638,0,3793,1
1641,1,3795,1
1643,0,3798,1
1646,0,3814,1
1649,0,3819,1
1653,1,3821,1
1661,1,3831,1
1669,1,3835,1
1671,1,3864,1
1673,1,3869,1
1676,1,3876,1
1677,1,3920,1
1683,1,3928,1
1684,1,3935,1
1692,0,3939,1
1695,0,3950,1
1696,0,3956,1
1697,0,3962,1
1698,0,3984,1
1700,0,3995,1
1703,1,4000,1
1710,1,4009,0
1711,1,4010,1
1718,1,4022,1
1719,1,4033,1
1720,1,4036,1
1729,1,4093,1
1733,1,4098,1
1735,1,4099,1
1736,1,4109,1
1738,1,4182,1
1743,1,4193,1
1744,1,4194,1
1746,1,4196,1
1747,1,4198,1
1748,1,4201,1
1753,1,4202,1
1767,1,4227,1
1776,1,4232,1
1782,1,4235,0
1789,1,4243,1
1790,1,4254,1
1799,1,4263,1
1806,1,4266,1
1815,1,4267,1
1818,1,4282,1
1825,1,4298,1
1827,1,4304,1
1831,1,4308,1
1841,1,4317,0
1842,1,4319,0
1845,1,4328,1
1850,1,4332,1
1854,1,4343,0
1867,1,4369,1
1869,1,4378,1
1870,1,4393,1
1876,1,4400,0
1877,1,4406,1
1878,1,4410,1
1880,1,4411,1
1882,1,4430,1
1894,1,4433,1
1912,1,4469,1
1918,1,4475,1
1924,1,4490,1
1925,1,4492,1
1931,1,4509,1
1935,1,4510,1
1937,1,4529,1
1939,1,4530,1
1945,1,4533,1
1948,1,4542,1
1950,1,4553,1
1953,1,4578,1
1956,1,4581,1
1959,1,4592,1
1968,1,4595,1
1970,1,4597,1
